Dataset, Counts, Rate (Hz)
ScoutingCaloCommissioning, 0, 0.0
JetHT, 210, 83.16
ScoutingPFCommissioning, 0, 0.0
AlCaP4, 0, 0.0
HTMHT, 28, 11.09
HLTPhysics, 0, 0.0
NoBPTX, 0, 0.0
ScoutingCaloHT, 0, 0.0
SingleElectron, 423, 167.51
DoubleMuonLowMass, 113, 44.75
SinglePhoton, 114, 45.14
unassigned, 0, 0.0
DoubleMuon, 149, 59.0
MuOnia, 112, 44.35
AlCaP1, 0, 0.0
RPCMonitor, 0, 0.0
ScoutingCaloMuon, 0, 0.0
HighPtPhoton30AndZ, 0, 0.0
AlCaPhiSym, 0, 0.0
Tau, 171, 67.72
IsolatedBunch, 0, 0.0
BTagCSV, 50, 19.8
AlCaP3, 0, 0.0
AlCaP2, 0, 0.0
HcalNZS, 37, 14.65
Charmonium, 243, 96.23
AlCaLumiPixels, 0, 0.0
MET, 359, 142.16
BTagMu, 64, 25.34
SingleMuon, 542, 214.63
HighPtLowerPhotons, 0, 0.0
DoubleEG, 188, 74.45
Commissioning, 0, 0.0
DisplacedJet, 16, 6.34
MuonEG, 58, 22.97
ScoutingPFHT, 0, 0.0
ZeroBias, 0, 0.0
