Groups Pure, Counts, Rate (Hz)
TAU, 0, 0.0
TRK, 0, 0.0
BTV, 55, 21.78
TSG, 0, 0.0
ECAL, 0, 0.0
EXO, 93, 36.83
TOP, 18, 7.13
HIG, 75, 29.7
FSQ, 0, 0.0
ALCA, 0, 0.0
HCAL, 0, 0.0
RPC, 0, 0.0
SUS, 61, 24.16
EGM, 12, 4.75
BPH, 437, 173.05
B2G, 15, 5.94
MUO, 35, 13.86
SMP, 87, 34.45
LUMI, 0, 0.0
HIN, 0, 0.0
JME, 35, 13.86
Groups Shared, Counts, Rate (Hz)
TAU, 46.030952381, 18.23
TRK, 0, 0.0
BTV, 57.7595238095, 22.87
TSG, 0, 0.0
ECAL, 2.27777777778, 0.9
EXO, 305.117063492, 120.83
TOP, 166.26984127, 65.84
HIG, 344.412698413, 136.39
FSQ, 0, 0.0
ALCA, 91.8531746032, 36.37
HCAL, 18.5, 7.33
RPC, 0, 0.0
SUS, 345.596031746, 136.86
EGM, 74.7666666667, 29.61
BPH, 441.690079365, 174.91
B2G, 258.412698413, 102.33
MUO, 132.191269841, 52.35
SMP, 309.796031746, 122.68
LUMI, 0, 0.0
HIN, 0, 0.0
JME, 42.3261904762, 16.76
